text,protext,class
"Boicote mediático ao PNR: crime no jornalismo 
https://t.co/GEobmnYdODhttps://t.co/QBWrB6ByVy",Boicote mediático ao PNR: crime no jornalismo  https://t.co/GEobmnYdODhttps://t.co/QBWrB6ByVy,0
e olha pra cara gorda e feia de Isabelle .. sem contar da voz irritante dela https://t.co/3PfOO1yeRf,e olha pra cara gorda e feia de Isabelle .. sem contar da voz irritante dela https://t.co/3PfOO1yeRf,1
@bielvolei @paullinh4 Basta frequentar uns minutinhos o grupo do Rexona pra ver que não seria surpresa eles gritarem sapatão,USERNAME USERNAME Basta frequentar uns minutinhos o grupo do Rexona pra ver que não seria surpresa eles gritarem sapatão,1
@spacelerman @noswse MEU DEUS A PAOLA CURITU MEU TWEET FALANDO QUE EU SOU SAPATAO E IBDICO CO PASAA MAL,USERNAME USERNAME MEU DEUS A PAOLA CURITU MEU TWEET FALANDO QUE EU SOU SAPATAO E IBDICO CO PASAA MAL,1
"RT @ativismodesofa: #EuParo pq feminicídios ainda são noticiados com chamadas que dizem 'por amor', 'por ciúme' ou 'crime passional'. O cer _","RT USERNAME: #EuParo pq feminicídios ainda são noticiados com chamadas que dizem 'por amor', 'por ciúme' ou 'crime passional'. O cer _",0
@pefabiodemelo Ta falando do Felipe neto @felipeneto,USERNAME Ta falando do Felipe neto USERNAME,0
"RT @pauloap: Ter dó de traficantes e estupradores se matando dentro da cadeia? Gente honesta tem dó das vítimas, isso sim.","RT USERNAME: Ter dó de traficantes e estupradores se matando dentro da cadeia? Gente honesta tem dó das vítimas, isso sim.",0
"@pablovillaca pooo, esse aí é otimista hein","USERNAME pooo, esse aí é otimista hein",0
"'Ninguém chega em casa falando “mãe, sou hétero”. Então por que tem que chegar e dizer “mãe, sou gay”?” BY @MariaGadu. #epronto","'Ninguém chega em casa falando “mãe, sou hétero”. Então por que tem que chegar e dizer “mãe, sou gay”?” BY USERNAME. #epronto",1
"Na Suécia... está tudo 'bem', não é?
#Sweden #PNR #Refugees #fakenews 
@realDonaldTrump
https://t.co/Y3Sap1TUTW","Na Suécia... está tudo 'bem', não é? #Sweden #PNR #Refugees #fakenews  USERNAME https://t.co/Y3Sap1TUTW",0
"@homemdeverdade pega forte na cintura da sua fêmea, essa coisa de delicadeza nessas horas é desses Jonnys Manés Citricos bunda mole!","USERNAME pega forte na cintura da sua fêmea, essa coisa de delicadeza nessas horas é desses Jonnys Manés Citricos bunda mole!",1
@felipefepacivil  kkkkkkkkkkkkkkk  a abelha sempre voltaaaa  rsrs,USERNAME  kkkkkkkkkkkkkkk  a abelha sempre voltaaaa  rsrs,0
@_opressor falei isso desde ontem ..kkkk https://t.co/UYYWi7iJ33,USERNAME falei isso desde ontem ..kkkk https://t.co/UYYWi7iJ33,0
"@fcancio 
Faz ele muitíssimo bem!",USERNAME  Faz ele muitíssimo bem!,0
@rodrigo_melo86 @dudaleich por que voce deletou o seu twitte? Vergonha???,USERNAME USERNAME por que voce deletou o seu twitte? Vergonha???,0
"Até agora, este é o melhor especial de stand-up que vi em 2017.
Boa surpresa https://t.co/xHDAjmpT7f","Até agora, este é o melhor especial de stand-up que vi em 2017. Boa surpresa https://t.co/xHDAjmpT7f",0
o pior cego é aquele que não pode escutar,o pior cego é aquele que não pode escutar,0
"Lugares da minha Pátria.
Ponta oriental da Ilha da Madeira com 'Desertas' ao fundo.
#IlhaDaMadeira #Caniço _ https://t.co/YBbo7yeuUJ",Lugares da minha Pátria. Ponta oriental da Ilha da Madeira com 'Desertas' ao fundo. #IlhaDaMadeira #Caniço _ https://t.co/YBbo7yeuUJ,0
"E eu que só vi agora o fato que o CeeLo Green levou ontem aos Grammys?!
Que bonita homenagem que ele fez https://t.co/uR85Cy99sb",E eu que só vi agora o fato que o CeeLo Green levou ontem aos Grammys?! Que bonita homenagem que ele fez https://t.co/uR85Cy99sb,0
@HAndreSilva @t4keshy Não há cá fufas.,USERNAME USERNAME Não há cá fufas.,1
Feliz dia das mulheres pra você que se depila e não faz textão no Facebook!,Feliz dia das mulheres pra você que se depila e não faz textão no Facebook!,1
@rodrigo_melo86 repito! Por que voce deletou o seu twitter?,USERNAME repito! Por que voce deletou o seu twitter?,0
lógico que defendo direito das mulheres não usarem burca/hijab porém elas tbm tem direito de usar então não adiana atacar a nike por vender,lógico que defendo direito das mulheres não usarem burca/hijab porém elas tbm tem direito de usar então não adiana atacar a nike por vender,1
"@AdemirAlvim vdd... nem conheci mas já dei block.... 
pessoa assim quero longe",USERNAME vdd... nem conheci mas já dei block....  pessoa assim quero longe,0
RT @NanaGouvea chegando em boston =),RT USERNAME chegando em boston =),0
"RT @editorahumanas: Seu pai não te trata mal por vc ser gay
Seu pai te trata mal pq vc tá desempregado com 30 anos dançando pop no quarto c _",RT USERNAME: Seu pai não te trata mal por vc ser gay Seu pai te trata mal pq vc tá desempregado com 30 anos dançando pop no quarto c _,0
"- votei no crivella pq o freixo vai acabar com as milícias 
- mas bandido bom não é bandido morto? https://t.co/CzVILFRu2d",- votei no crivella pq o freixo vai acabar com as milícias  - mas bandido bom não é bandido morto? https://t.co/CzVILFRu2d,0
"Estamos de olho !Foram 2milhoes de assinaturas, mas hoje somos muito mais, descontentes com essa roubalheira. https://t.co/r2av8VyCLj","Estamos de olho !Foram 2milhoes de assinaturas, mas hoje somos muito mais, descontentes com essa roubalheira. https://t.co/r2av8VyCLj",0
@manguaca82 estamos destruindo essa porcaria. Avante!,USERNAME estamos destruindo essa porcaria. Avante!,1
"Interessante:
Por que a promiscuidade masculina ‘_natural’_ é um mito, segundo esta bióloga https://t.co/jafH0CKYXK","Interessante: Por que a promiscuidade masculina ‘_natural’_ é um mito, segundo esta bióloga https://t.co/jafH0CKYXK",0
RT @UmaGuriaApenas: adoro ouvir música triste no carro porque encosto a cabeça no vidro e me imagino linda num clipe,RT USERNAME: adoro ouvir música triste no carro porque encosto a cabeça no vidro e me imagino linda num clipe,0
"@Nath_santos20 - coisa feia é tu leitoa, tá gorda igual uma porca ..","USERNAME - coisa feia é tu leitoa, tá gorda igual uma porca ..",1
RT @DepEduardoCunha: Boa tarde a todos,RT USERNAME: Boa tarde a todos,0
"Ei @ForbesBR , que tal contratar a @carolcimenti pro time de vocês? O que é ruim sempre pode virar uma grande merda! https://t.co/ucsKl3Z4YN","Ei USERNAME , que tal contratar a USERNAME pro time de vocês? O que é ruim sempre pode virar uma grande merda! https://t.co/ucsKl3Z4YN",0
wpp voltou // a ditadura não https://t.co/x9u3cmmksM,wpp voltou // a ditadura não https://t.co/x9u3cmmksM,0
Refugiados não passam de 0.3% da população do planeta. https://t.co/0gyeBrx7mj,Refugiados não passam de 0.3% da população do planeta. https://t.co/0gyeBrx7mj,0
RT @dianafigueredoo: Cleo Pires tirou uma foto fumando maconha pq ela n tira tbm do exato momento onde conseguiu?,RT USERNAME: Cleo Pires tirou uma foto fumando maconha pq ela n tira tbm do exato momento onde conseguiu?,0
Gente a mulher parece aquelas tia que fica na cozinha mas na verdade ela é um gênio da física #MasterChefBR,Gente a mulher parece aquelas tia que fica na cozinha mas na verdade ela é um gênio da física #MasterChefBR,1
E vc aí mulher não sabe nem chutar uma bola direito https://t.co/APQBR6I61Q,E vc aí mulher não sabe nem chutar uma bola direito https://t.co/APQBR6I61Q,1
#DiaDaMulher FELIZ DIA DAS MULHERES Dia Internacional da Mulher #BolsonaroReiDoMundo https://t.co/sF7Pd9hI1R,#DiaDaMulher FELIZ DIA DAS MULHERES Dia Internacional da Mulher #BolsonaroReiDoMundo https://t.co/sF7Pd9hI1R,0
"@editorahumanas velho, querem censurar o melhor conteúdo humor político da direita?? Vai se foder OAB-SP","USERNAME velho, querem censurar o melhor conteúdo humor político da direita?? Vai se foder OAB-SP",1
temer lixo humano,temer lixo humano,1
Para de falar alemão caralho,Para de falar alemão caralho,1
"SIM, COM 16 ANOS UM JOVEM NORMAL ESTÁ VENDO MULHER PELADA E SE MASTURBANDO #JoaquinResponde https://t.co/pJTdJtkgva","SIM, COM 16 ANOS UM JOVEM NORMAL ESTÁ VENDO MULHER PELADA E SE MASTURBANDO #JoaquinResponde https://t.co/pJTdJtkgva",1
RT @direitafalando: Deus criou adao e eva e nao adao e ivo,RT USERNAME: Deus criou adao e eva e nao adao e ivo,0
"RT @someriseing: eu tenho um livro extra em casa, se alguma das amiga aqui do twinto quiser, eu mando <3 https://t.co/6jsdxbn0rU","RT USERNAME: eu tenho um livro extra em casa, se alguma das amiga aqui do twinto quiser, eu mando <3 https://t.co/6jsdxbn0rU",0
@macedowesleey @Felipebastos022 só não pode ser gorda e feia,USERNAME USERNAME só não pode ser gorda e feia,1
"É SÓ MANDAR UMA SONDA PRA ESSES 3 PLANETAS:
SE NÃO ACHAR PSOL, FUNK, MACONHERO E IUTUBER 
TEM VIDA INTELIGENTE SIM https://t.co/UarqovoMKE","É SÓ MANDAR UMA SONDA PRA ESSES 3 PLANETAS: SE NÃO ACHAR PSOL, FUNK, MACONHERO E IUTUBER  TEM VIDA INTELIGENTE SIM https://t.co/UarqovoMKE",1
Sistema legal falido! '77% dos refugiados que entraram nos EUA desde o adiamento do veto são de 7 países suspeitos. _ https://t.co/nVSy7bwfC5,Sistema legal falido! '77% dos refugiados que entraram nos EUA desde o adiamento do veto são de 7 países suspeitos. _ https://t.co/nVSy7bwfC5,1
"Em evento no Palácio do Planalto em homenagem ao Dia Internacional da Mulher, o presidente Michel Temer cometeu... https://t.co/8JjG2vRO2e","Em evento no Palácio do Planalto em homenagem ao Dia Internacional da Mulher, o presidente Michel Temer cometeu... https://t.co/8JjG2vRO2e",0
"RT @imjustkiff: as fufas usam sempre o msm argumento
'como mais cona que tu'",RT USERNAME: as fufas usam sempre o msm argumento 'como mais cona que tu',1
Vamos boicotar o Habibs por não fiscalizar a droga dos meninos que entram na loja pra intimidar os clientes! https://t.co/hYeE2ZLdwz,Vamos boicotar o Habibs por não fiscalizar a droga dos meninos que entram na loja pra intimidar os clientes! https://t.co/hYeE2ZLdwz,1
Quando as feministas criaram a hashtag #primeiroassédio o número de denúncias de violência contra a mulher... https://t.co/ts6aDVCGJz,Quando as feministas criaram a hashtag #primeiroassédio o número de denúncias de violência contra a mulher... https://t.co/ts6aDVCGJz,0
"Até o Trump já está farto dos posts sobre o frio.
PAREM POR FAVOR! https://t.co/zedolXQcc2",Até o Trump já está farto dos posts sobre o frio. PAREM POR FAVOR! https://t.co/zedolXQcc2,0
"“ai, luigi, mas vc ta militando? q saco”
.
pois é pq eu entendo os privilégios que eu tenho por ter nascido homem branco","“ai, luigi, mas vc ta militando? q saco” . pois é pq eu entendo os privilégios que eu tenho por ter nascido homem branco",1
Batom vermelho só é bonito em gente branca,Batom vermelho só é bonito em gente branca,1
"É de se esperar que um povo q não aceita um cão pela sua cor não abra as portas aos refugiados 
Isso da nojo",É de se esperar que um povo q não aceita um cão pela sua cor não abra as portas aos refugiados  Isso da nojo,0
"na hora nem me toquei que era por causa do dia da mulher, cuidado com a burra","na hora nem me toquei que era por causa do dia da mulher, cuidado com a burra",1
"O @showdavida em sua dose diária de anti-trumpismo. 
Quando vão fazer reportagem sobre os 16 países que proíbem entrada de israelenses??",O USERNAME em sua dose diária de anti-trumpismo.  Quando vão fazer reportagem sobre os 16 países que proíbem entrada de israelenses??,0
"@BolsonaroSP @jairbolsonaro Ele não tem moral de falar de um homem íntegro, o Dep. Jair Messias Bolsonaro!","USERNAME USERNAME Ele não tem moral de falar de um homem íntegro, o Dep. Jair Messias Bolsonaro!",0
"RT @coalacroata: E regicídio, parricidio, genocídio, etnocidio... Aparentemente é mais difícil aprender português quando se está lambendo b _","RT USERNAME: E regicídio, parricidio, genocídio, etnocidio... Aparentemente é mais difícil aprender português quando se está lambendo b _",1
"Argumento: 'tu é burro'
não refuta nada do que falei com fatos , lógica e verdade!
VocÊ vive e se esconde dentro de _ https://t.co/tcg0ThD0Ak","Argumento: 'tu é burro' não refuta nada do que falei com fatos , lógica e verdade! VocÊ vive e se esconde dentro de _ https://t.co/tcg0ThD0Ak",1
gorda e feia nao cabe na tela do celular de tão gorda https://t.co/FBL2xg6MwL,gorda e feia nao cabe na tela do celular de tão gorda https://t.co/FBL2xg6MwL,1
"a lição de hoje da mulher mais burra do brasil é: não pulem de um ônibus em movimento, mesmo se você estiver no último degrau ou na anchieta","a lição de hoje da mulher mais burra do brasil é: não pulem de um ônibus em movimento, mesmo se você estiver no último degrau ou na anchieta",1
"@CTonsa 
HAHAHAHAHAHAHA
E não é que parece?",USERNAME  HAHAHAHAHAHAHA E não é que parece?,0
"A  ética da imprensa regional contrasta com o cartel da comunicação social de alcance nacional.
Felicito o _ https://t.co/Y7oD6CcInV",A  ética da imprensa regional contrasta com o cartel da comunicação social de alcance nacional. Felicito o _ https://t.co/Y7oD6CcInV,0
@FeiticeiraDrink Já percebeu que só militante feia e gorda  fala mal de homem ?,USERNAME Já percebeu que só militante feia e gorda  fala mal de homem ?,1
"'Diz produtora IRANIANA'. Não pode ser séria essa notícia... 
Certeza q p essa mulher, jogar um Boeing contra um p _ https://t.co/TOy463lsYd","'Diz produtora IRANIANA'. Não pode ser séria essa notícia...  Certeza q p essa mulher, jogar um Boeing contra um p _ https://t.co/TOy463lsYd",0
"RT @JOAQUINVOLTOU: '21 anos sem Mamonas Assassinas'
SE ELES FOSSEM VIVOS VOCÊ ESTARIA FAZENDO TEXTÃO ACUSANDO OS CARA DE MACHISMO, HOMOFOB _","RT USERNAME: '21 anos sem Mamonas Assassinas' SE ELES FOSSEM VIVOS VOCÊ ESTARIA FAZENDO TEXTÃO ACUSANDO OS CARA DE MACHISMO, HOMOFOB _",0
"@PastorMalafaia não importa o que a mídia invente, requente, persiga.Acredito na sua índole.","USERNAME não importa o que a mídia invente, requente, persiga.Acredito na sua índole.",0
Filme de ex ativista gay que se tornou pastor causa polêmica -... https://t.co/ZO3DmrUtpq,Filme de ex ativista gay que se tornou pastor causa polêmica -... https://t.co/ZO3DmrUtpq,0
Tenho tanto medo de avião que quando ele passa lá em cima meu coração acelera... Afff,Tenho tanto medo de avião que quando ele passa lá em cima meu coração acelera... Afff,0
Curso de informática em Visconde do Rio Branco está com inscrição aberta https://t.co/NUa2lqUApzhttps://t.co/QZcBneT5Mh,Curso de informática em Visconde do Rio Branco está com inscrição aberta https://t.co/NUa2lqUApzhttps://t.co/QZcBneT5Mh,0
Mas o Paul G não desiste pq? Nem Angola conquistou quer conquistar América ?,Mas o Paul G não desiste pq? Nem Angola conquistou quer conquistar América ?,1
"Saímos no Correio da Manhã. Mas só porque as notícias humorísticas sobre o Carrilho já não estavam a bater
#Humor
https://t.co/41rGkEK8OC",Saímos no Correio da Manhã. Mas só porque as notícias humorísticas sobre o Carrilho já não estavam a bater #Humor https://t.co/41rGkEK8OC,0
"Pra quem perdeu o documentário #EuVocêTodasNós ao vivo no @canalfutura, NÃO SE CHATEIE! Tá disponível aqui >> VEJA https://t.co/RAQAC6GOws","Pra quem perdeu o documentário #EuVocêTodasNós ao vivo no USERNAME, NÃO SE CHATEIE! Tá disponível aqui >> VEJA https://t.co/RAQAC6GOws",0
10 notícias que provam o quanto o feminismo é necessário  https://t.co/3mIKQvLOHL,10 notícias que provam o quanto o feminismo é necessário  https://t.co/3mIKQvLOHL,1
"RT @rpsantos1970: A intolerância dos 'tolerantes' de Esquerda. 
#Muculmanos #Esquerda #Ilegais #Imigrantes #PNR https://t.co/ABqgtFEmBs",RT USERNAME: A intolerância dos 'tolerantes' de Esquerda.  #Muculmanos #Esquerda #Ilegais #Imigrantes #PNR https://t.co/ABqgtFEmBs,0
"feliz dia do 'eu to gorda, feia e inchada' feliz dia da TPM meninas","feliz dia do 'eu to gorda, feia e inchada' feliz dia da TPM meninas",1
"'você é burro'  o argumento da 'Jênia'
Mas não consegue refutar uma linha do que falei!
Eis a bolha do marxismo cul _ https://t.co/w1yV35loON",'você é burro'  o argumento da 'Jênia' Mas não consegue refutar uma linha do que falei! Eis a bolha do marxismo cul _ https://t.co/w1yV35loON,0
Queria saber pq todo mundo acha que eu sou sapatão,Queria saber pq todo mundo acha que eu sou sapatão,1
RT @rennangaldino_: #HojeEuGostariaDe Resumindo https://t.co/4t3zjqnxD1,RT USERNAME: #HojeEuGostariaDe Resumindo https://t.co/4t3zjqnxD1,0
"RT @prrttyhrts: Me sinto sempre a amiga mais feia e gorda do grupo, sou péssima de corpo e rosto. #amproblems #askanamia","RT USERNAME: Me sinto sempre a amiga mais feia e gorda do grupo, sou péssima de corpo e rosto. #amproblems #askanamia",0
Passo a passo de como denunciar o Facebook do pastor MalaCheia... http://t.co/QwYFoWjp kkkk ele vai ficar muito puto mas quem liga?,Passo a passo de como denunciar o Facebook do pastor MalaCheia... http://t.co/QwYFoWjp kkkk ele vai ficar muito puto mas quem liga?,1
Essa sociedade machista opressora https://t.co/25ZOYePq5z,Essa sociedade machista opressora https://t.co/25ZOYePq5z,1
"@PauloBotelho87 Se é algo tão natural, vai transar c sua mulher na rua porra! E leva teus filhos tb! Se não for é um hipócrita!","USERNAME Se é algo tão natural, vai transar c sua mulher na rua porra! E leva teus filhos tb! Se não for é um hipócrita!",0
"sabe como acaba com o tráfico?
tu parando de fumar essa tua maconha seu vagabundo imundo",sabe como acaba com o tráfico? tu parando de fumar essa tua maconha seu vagabundo imundo,1
"Não se sinta mulher de verdade se você ofende outras mulheres chamando-as de feia, estranha, magrela, gorda, etc","Não se sinta mulher de verdade se você ofende outras mulheres chamando-as de feia, estranha, magrela, gorda, etc",1
@MarleneBicalho Vi a DM Pssoa! Tudo certim..,USERNAME Vi a DM Pssoa! Tudo certim..,0
"Nem mais! Não gostam, não comam. Façam boa viagem!
#ForçaTrump https://t.co/KVuoX5XC9e","Nem mais! Não gostam, não comam. Façam boa viagem! #ForçaTrump https://t.co/KVuoX5XC9e",0
@larryclosex @PastorMalafaia Ui ! que gay agressivo! faça com os outros o que voce EXIGE que nao se faça com voce ..muita purpurina no nariz,USERNAME USERNAME Ui ! que gay agressivo! faça com os outros o que voce EXIGE que nao se faça com voce ..muita purpurina no nariz,1
'Emirados Árabes querem ir a Marte e construir uma 'Dubai' lá até 2117'  -UOL  Por que não usam essa grana para ajudar os refugiados irmãos?,'Emirados Árabes querem ir a Marte e construir uma 'Dubai' lá até 2117'  -UOL  Por que não usam essa grana para ajudar os refugiados irmãos?,1
"'Mulheres são minorias em TI e engenharia e outros cursos. O que fazer pra incluí-las neles?'
Deixa que elas escolham esses cursos, simples","'Mulheres são minorias em TI e engenharia e outros cursos. O que fazer pra incluí-las neles?' Deixa que elas escolham esses cursos, simples",1
@_Nabarra 'Estimo que se foda' será mais profissional.,USERNAME 'Estimo que se foda' será mais profissional.,1
Não! Nasceu em 13.12.1978! #Acredite! Meu Apelido de infância: Maria Desastre RT @AlineBorel    tá pra nascer pessoa mais desastrada que eu.,Não! Nasceu em 13.12.1978! #Acredite! Meu Apelido de infância: Maria Desastre RT USERNAME    tá pra nascer pessoa mais desastrada que eu.,0
"ACHO RIDÍCULO, MAS RESPEITO, NÃO SOU HOMOFÓBICO https://t.co/gC4L1yJ1ls","ACHO RIDÍCULO, MAS RESPEITO, NÃO SOU HOMOFÓBICO https://t.co/gC4L1yJ1ls",1
"@BolsonaroSP  as empresas que fabricam CITOTEC, REMEDIO ABORTIVO devem dar muito dinheiro pra essa gente","USERNAME  as empresas que fabricam CITOTEC, REMEDIO ABORTIVO devem dar muito dinheiro pra essa gente",1
"RT @israelcristo10: @BlogDoPim O STF QUER DE QUALQUER FORMA BARRAR O JAIR BOLSONARO DE SE CANDIDATAR A PRESIDENTE EM 2018!!!!!!!!!!
#STFNÃO _",RT USERNAME: USERNAME O STF QUER DE QUALQUER FORMA BARRAR O JAIR BOLSONARO DE SE CANDIDATAR A PRESIDENTE EM 2018!!!!!!!!!! #STFNÃO _,0
"RT @ajulysantos: Se você não acha isso lindo, se você não acha isso arte vc é muito fascista... https://t.co/VhkdJqsvsm","RT USERNAME: Se você não acha isso lindo, se você não acha isso arte vc é muito fascista... https://t.co/VhkdJqsvsm",1
"RT @jhonatacosmo: @Justiceiro_Sujo Isso se chama inveja, deve que ninguém quer comer esse cu sujo dela, por isso fica dando palpite na vida _","RT USERNAME: USERNAME Isso se chama inveja, deve que ninguém quer comer esse cu sujo dela, por isso fica dando palpite na vida _",1
@analindamente eu só consigo lembrar das campanhas #meuamigosecreto e #meuprimeiroassédio. me sinto mt lixo humano por ver gente falando de,USERNAME eu só consigo lembrar das campanhas #meuamigosecreto e #meuprimeiroassédio. me sinto mt lixo humano por ver gente falando de,1
"RT @GABRIELPlNHEIRO: Quando era o Obama não saia no Jornal Nacional
A imprensa tem lado https://t.co/cUMo6Is1ME",RT USERNAME: Quando era o Obama não saia no Jornal Nacional A imprensa tem lado https://t.co/cUMo6Is1ME,1
"@Estadao Duvido o feminismo ser contra o que esse MACHO HOMEM pede aí!
O feminismo é capacho da esquerda!",USERNAME Duvido o feminismo ser contra o que esse MACHO HOMEM pede aí! O feminismo é capacho da esquerda!,1
"Chega pra mina e fala:
-Por caso seu pai é dono de bordel??
-Não.pq???
-pq vc parece uma puta",Chega pra mina e fala: -Por caso seu pai é dono de bordel?? -Não.pq??? -pq vc parece uma puta,1
@LeoLimaDuarte @gabrisinhas então por que diabos essa branquela ta reclamando?!,USERNAME USERNAME então por que diabos essa branquela ta reclamando?!,1
@bigsbywo SAPATÃO BABANDO EM CIMA DE MINA HETERO DESPERTA 01 ÚNICO SENTIMENTO: https://t.co/qTA5mX1to7,USERNAME SAPATÃO BABANDO EM CIMA DE MINA HETERO DESPERTA 01 ÚNICO SENTIMENTO: https://t.co/qTA5mX1to7,1
as fufas são malucas,as fufas são malucas,1
"aos mariquinhas que passam o dia twittando, eu voltei.","aos mariquinhas que passam o dia twittando, eu voltei.",1
@jairbolsonaro HUMILHA o irresponsável do Fernando Henrique Cardoso https://t.co/HZYd60U57y,USERNAME HUMILHA o irresponsável do Fernando Henrique Cardoso https://t.co/HZYd60U57y,1
Olha a cara do @jairbolsonaro de qm tá ligando para o que esses cus sujos estão fazendo https://t.co/QTGF3jtLfv,Olha a cara do USERNAME de qm tá ligando para o que esses cus sujos estão fazendo https://t.co/QTGF3jtLfv,1
kd as sapatao dessa uniritter,kd as sapatao dessa uniritter,1
"OLGA BENARIO
Vai toma no cu https://t.co/ux61TtGZLh",OLGA BENARIO Vai toma no cu https://t.co/ux61TtGZLh,1
"RT @editorahumanas: O PT recebeu 40 milhões da Itaipava
O Lula pode alegar que foi pra consumo próprio",RT USERNAME: O PT recebeu 40 milhões da Itaipava O Lula pode alegar que foi pra consumo próprio,1
